cement,blast,fly,water,superplas,coarse_agg,fine_agg,age,ccs
5.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+02,0.000000000000000000e+00,1.125000000000000000e+03,6.130000000000000000e+02,3.000000000000000000e+00,2.606219279999999827e+01
1.225999999999999943e+02,1.839000000000000057e+02,0.000000000000000000e+00,2.035000000000000000e+02,0.000000000000000000e+00,9.582000000000000455e+02,8.001000000000000227e+02,7.000000000000000000e+00,1.035455056799999873e+01
3.626000000000000227e+02,1.890000000000000000e+02,0.000000000000000000e+00,1.649000000000000057e+02,1.159999999999999964e+01,9.447000000000000455e+02,7.557999999999999545e+02,9.100000000000000000e+01,7.929663476000000344e+01
5.220000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.460000000000000000e+02,0.000000000000000000e+00,8.960000000000000000e+02,8.960000000000000000e+02,2.800000000000000000e+01,7.498740975999999137e+01
1.570000000000000000e+02,2.360000000000000000e+02,0.000000000000000000e+00,1.920000000000000000e+02,0.000000000000000000e+00,9.353999999999999773e+02,7.812000000000000455e+02,3.000000000000000000e+00,9.694722035999999932e+00
3.795000000000000000e+02,1.511999999999999886e+02,0.000000000000000000e+00,1.539000000000000057e+02,1.590000000000000036e+01,1.134299999999999955e+03,6.050000000000000000e+02,7.000000000000000000e+00,4.709810556000000048e+01
3.560000000000000000e+02,1.190000000000000000e+02,0.000000000000000000e+00,1.600000000000000000e+02,9.029999999999999361e+00,1.061000000000000000e+03,6.570000000000000000e+02,2.800000000000000000e+01,5.899846131999999699e+01
1.903400000000000034e+02,0.000000000000000000e+00,1.251800000000000068e+02,1.618499999999999943e+02,9.880000000000000782e+00,1.088099999999999909e+03,8.025900000000000318e+02,1.400000000000000000e+01,2.271823419999999771e+01
5.400000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.620000000000000000e+02,2.500000000000000000e+00,1.055000000000000000e+03,6.760000000000000000e+02,2.800000000000000000e+01,6.188736575999999445e+01
3.420000000000000000e+02,3.800000000000000000e+01,0.000000000000000000e+00,2.280000000000000000e+02,0.000000000000000000e+00,9.320000000000000000e+02,6.700000000000000000e+02,1.800000000000000000e+02,5.212438559999999654e+01
2.380000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.850000000000000000e+02,0.000000000000000000e+00,1.118000000000000000e+03,7.890000000000000000e+02,2.800000000000000000e+01,1.754026943999999943e+01
1.688799999999999955e+02,4.221999999999999886e+01,1.242500000000000000e+02,1.583300000000000125e+02,1.083000000000000007e+01,1.080799999999999955e+03,7.961499999999999773e+02,1.000000000000000000e+02,4.815300383999999667e+01
2.500000000000000000e+02,0.000000000000000000e+00,9.568999999999999773e+01,1.874199999999999875e+02,5.530000000000000249e+00,9.568600000000000136e+02,8.611699999999999591e+02,5.600000000000000000e+01,3.832797083999999899e+01
1.935000000000000000e+02,2.901999999999999886e+02,0.000000000000000000e+00,1.856999999999999886e+02,0.000000000000000000e+00,9.982000000000000455e+02,7.042999999999999545e+02,7.000000000000000000e+00,1.720035777199999671e+01
5.280000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.850000000000000000e+02,6.860000000000000320e+00,9.200000000000000000e+02,7.200000000000000000e+02,2.800000000000000000e+01,5.683350667999999928e+01
4.460000000000000000e+02,2.400000000000000000e+01,7.900000000000000000e+01,1.620000000000000000e+02,1.164000000000000057e+01,9.670000000000000000e+02,7.120000000000000000e+02,5.600000000000000000e+01,5.525460663999999866e+01
2.518100000000000023e+02,0.000000000000000000e+00,9.993999999999999773e+01,1.461399999999999864e+02,1.234999999999999964e+01,1.006000000000000000e+03,8.997599999999999909e+02,1.400000000000000000e+01,3.335684888000000115e+01
3.100000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.920000000000000000e+02,0.000000000000000000e+00,9.700000000000000000e+02,8.500000000000000000e+02,9.000000000000000000e+01,3.468064280000000110e+01
5.400000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.730000000000000000e+02,0.000000000000000000e+00,1.125000000000000000e+03,6.130000000000000000e+02,7.000000000000000000e+00,5.261391356000000030e+01
2.957099999999999795e+02,0.000000000000000000e+00,9.564000000000000057e+01,1.715399999999999920e+02,8.869999999999999218e+00,9.551399999999999864e+02,8.592000000000000455e+02,2.800000000000000000e+01,3.994134468000000027e+01
3.870000000000000000e+02,2.000000000000000000e+01,9.400000000000000000e+01,1.570000000000000000e+02,1.160999999999999943e+01,9.380000000000000000e+02,8.450000000000000000e+02,5.600000000000000000e+01,6.145989063999999757e+01
2.540000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.980000000000000000e+02,0.000000000000000000e+00,9.680000000000000000e+02,8.630000000000000000e+02,1.800000000000000000e+02,2.762730331999999933e+01
1.670000000000000000e+02,7.540000000000000568e+01,1.670000000000000000e+02,1.640300000000000011e+02,7.910000000000000142e+00,1.007299999999999955e+03,7.701000000000000227e+02,1.400000000000000000e+01,3.290179471999999805e+01
5.400000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.730000000000000000e+02,0.000000000000000000e+00,1.125000000000000000e+03,6.130000000000000000e+02,3.000000000000000000e+00,4.163745563999999888e+01
3.250000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.840000000000000000e+02,0.000000000000000000e+00,1.063000000000000000e+03,7.830000000000000000e+02,7.000000000000000000e+00,1.754026943999999943e+01
3.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.840000000000000000e+02,0.000000000000000000e+00,1.075000000000000000e+03,7.950000000000000000e+02,2.800000000000000000e+01,2.684819543999999780e+01
4.690000000000000000e+02,1.172000000000000028e+02,0.000000000000000000e+00,1.378000000000000114e+02,3.220000000000000284e+01,8.521000000000000227e+02,8.405000000000000000e+02,2.800000000000000000e+01,6.689985627999999451e+01
1.906800000000000068e+02,0.000000000000000000e+00,1.254000000000000057e+02,1.621399999999999864e+02,7.769999999999999574e+00,1.090000000000000000e+03,8.040099999999999909e+02,1.400000000000000000e+01,2.106349179999999777e+01
4.460000000000000000e+02,2.400000000000000000e+01,7.900000000000000000e+01,1.620000000000000000e+02,1.160999999999999943e+01,9.670000000000000000e+02,7.120000000000000000e+02,5.600000000000000000e+01,6.106688932000000136e+01
2.771899999999999977e+02,9.781999999999999318e+01,2.446000000000000085e+01,1.606999999999999886e+02,1.118999999999999950e+01,1.061700000000000045e+03,7.824600000000000364e+02,1.000000000000000000e+02,6.694811959999999829e+01
2.500000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.820000000000000000e+02,0.000000000000000000e+00,1.100000000000000000e+03,8.200000000000000000e+02,2.800000000000000000e+01,2.087043852000000044e+01
3.930000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.920000000000000000e+02,0.000000000000000000e+00,9.400000000000000000e+02,7.580000000000000000e+02,9.000000000000000000e+01,4.879421651999999909e+01
